QCod,QKateg,QPag,QLang,QLect,QPhoto,QSound,QBook
20457,1,18,3,"В каком случае разрешена стоянка легкового автомобиля рядом с другим, правильно остановленным вдоль дороги?","0","0","ΣΤΑΣΗ 36"
20458,1,18,3,"На каком расстоянии от пожарного крана разрешено останавливать ваше транспортное средства?","0","0","ΣΤΑΣΗ 37"
20459,1,18,3,"В каком месте разрешается стоянка транспортных средств на дороге с односторонним движением, если нет знака запрещающего стоянки?","0","0","ΣΤΑΣΗ 38"
20460,1,18,3,"В каком случае разрешается поставить на стоянке Ваше транспортное средство на тротуаре?","0","0","ΣΤΑΣΗ 39"
20461,1,18,3,"В каких из нижеприведённых мест запрещается поставить на стоянку транспортное средство?","0","0","ΣΤΑΣΗ 40"
20462,1,18,3,"Что вы обязаны делать, паркуя свой автомобиль на улице без тротуаров?","0","0","ΣΤΑΣΗ 41"
20463,1,18,3,"Чтобы начать безопасное движение со стоянки, всегда, в качестве последнего действия:","0","0","ΣΤΑΣΗ 43"
20464,1,18,3,"Вы желаете поставить Ваше транспортное средство на стоянку. В каком случае разрешено Вам не затушить двигатель до Вашего возвращения?","0","0","ΣΤΑΣΗ 44"
20465,1,18,3,"Вы поставили на стоянку ваше транспортное средство на стороне дороги с   передней частью на подъёме. Необходимо включить стояночный тормоз и выбрать:","0","0","ΣΤΑΣΗ 45"
20466,1,18,3,"Вы поставили на стоянку Ваше транспортное средство на стороне дороги, с задней частью к подъёму. Необходимо включить стояночный тормоз и выбрать:","0","0","ΣΤΑΣΗ 47"
20467,1,18,3,"На паркометре есть стояночное время от прежнего припаркованного автомобиля. Как Вы должны поступить, если Вы будете ставить машину на стоянку в данном месте?","0","0","ΣΤΑΣΗ 50"
20468,1,18,3,"На дороге с двусторонним движением не запрещается постановка автомобиля на стоянку, ни на левой, ни на правой стороне, параллельно к оси дороги. На каком месте разрешается поставить автомобиль на стоянку?","0","0","ΣΤΑΣΗ 51"
20469,1,18,3,"Каково минимальное расстояние, которое Вы должны оставлять при остановке или стоянке перед пешеходным переходом?","0","0","ΣΤΑΣΗ 52"
20470,1,18,3,"При каких случаях рекомендуется в темное время суток включить габаритные огни?","0","0","ΣΤΑΣΗ 53"
20471,1,1,3,"Как вы поступите в этом случае?","Th02","0","ΠΡΟΣΠΕΡΑΣΗ 02"
20472,1,1,3,"В этой ситуации, если движение назад необходимо, какое транспортное средство отступает?","Th03","0","ΠΡΟΣΠΕΡΑΣΗ 03"
20473,1,1,3,"В этой ситуации, если движение назад необходимо, какое транспортное средство отступает?","Th05","0","ΠΡΟΣΠΕΡΑΣΗ 05"
20474,1,1,3,"Автобус остановлен на остановке. Поскольку левая полоса свободна, Вы решили обогнать автобус. На что Вы должны обращать внимание во время обгона?","Th07","0","ΠΡΟΣΠΕΡΑΣΗ 07"
20475,1,1,3,"Вы двигаетесь с ускорением, но на небольшом расстоянии Вы видите сплошную линию, разделяющую два направления движения:","Th08","0","ΠΡΟΣΠΕΡΑΣΗ 08"
20476,1,15,3,"Обязаны ли Вы в данном случае  уступить дорогу встречному транспортному средству?","Th09","0","ΠΡΟΣΠΕΡΑΣΗ 09"
20477,1,15,3,"Транспортное средство приближается с встречной полосы. Должен ли он снизить скорость, чтобы оставить вас совершить обгон?","Th10","0","ΠΡΟΣΠΕΡΑΣΗ 10"
20478,1,1,3,"При завершении обгона, Вы перестраиваетесь  в левый ряд:","Th11","0","ΠΡΟΣΠΕΡΑΣΗ 11"
20479,1,15,3,"Транспортное средство 1 включил левый указатель поворота, чтобы совершить поворот. Транспортное средство 2 только что совершил обгон справа:","Th12","0","ΠΡΟΣΠΕΡΑΣΗ 12"
20480,1,1,3,"Видимость отличная:","Th13","0","ΠΡΟΣΠΕΡΑΣΗ 13"
20481,1,15,3,"Данный автомобиль завершает обгон вашего автомобиля:","Th14","0","ΠΡΟΣΠΕΡΑΣΗ 14"
20482,1,15,3,"В данном случае, какое из транспортных средств уступает, если движение назад необходимо?","Th15","0","ΠΡΟΣΠΕΡΑΣΗ 15"
20483,1,15,3,"Как мы поступим в данном случае?","Th16","0","ΠΡΟΣΠΕΡΑΣΗ 16"
20484,1,15,3,"В данном случае, вы можете совершить обгон?","Th17","0","ΠΡΟΣΠΕΡΑΣΗ 17"
20485,1,2,3,"Красный автомобиль совершает обгон:","Th19","0","ΠΡΟΣΠΕΡΑΣΗ 19"
20486,1,1,3,"В данном случае:","Th20","0","ΠΡΟΣΠΕΡΑΣΗ 20"
20487,1,1,3,"При необходимости, поднимающийся автомобиль должен остановиться и отступить, чтобы уступить дорогу спускающемуся автомобилю.","Th21","0","ΠΡΟΣΠΕΡΑΣΗ 21"
20488,1,20,3,"На каком расстоянии, по крайней мере, можно проехать мимо одного пешехода?","0","0","ΠΡΟΣΠΕΡΑΣΗ 24"
20489,1,20,3,"Автомобиль, который двигается за вами намерен обогнать вас в то время, когда на проезжей части обозначены стрелки сужения на полосе вашего движения. Как вы поступите?","0","0","ΠΡΟΣΠΕΡΑΣΗ 25"
20490,1,20,3,"Вы едете за грузовым транспортным средством. Для того, чтобы решить совершите ли вы обгон. Вы должны:","0","0","ΠΡΟΣΠΕΡΑΣΗ 26"
20491,1,20,3,"Если проезд противоположно движущихся транспортных средств по наклонной дороге затруднен, транспортное средство, которое, по правилу, должно остановиться первым – это то, которое спускается?","0","0","ΠΡΟΣΠΕΡΑΣΗ 27"
20492,1,20,3,"Для того, чтобы обогнать животное или наездника, вы должны соблюдать наименьшее боковое расстояние в размере:","0","0","ΠΡΟΣΠΕΡΑΣΗ 28"
20493,1,20,3,"В каких из нижеперечисленных случаях запрещен обгон?","0","0","ΠΡΟΣΠΕΡΑΣΗ 29"
20494,1,20,3,"От какого транспортного средства вы оставите наибольшее расстояние при совершении обгона?","0","0","ΠΡΟΣΠΕΡΑΣΗ 30"
20495,1,20,3,"Как вы обязаны поступить, когда вы поймете, что водитель транспортного средства, идущего за вами, намерен вас обогнать?","0","0","ΠΡΟΣΠΕΡΑΣΗ 31"
20496,1,20,3,"Как вы обязаны поступить, когда при совершении обгона впереди идущее транспортное средство увеличивает свою скорость?","0","0","ΠΡΟΣΠΕΡΑΣΗ 32"
20497,1,20,3,"Как Вы должны поступить при проезде железнодорожного переезда, необорудованного шлагбаумом?","0","0","ΠΡΟΣΠΕΡΑΣΗ 33"
20498,1,20,3,"Обгон с правой стороны разрешается:","0","0","ΠΡΟΣΠΕΡΑΣΗ 34"
20499,1,20,3,"Какая опасность существует при обгоне даже на прямой дороге с хорошей видимостью?","0","0","ΠΡΟΣΠΕΡΑΣΗ 35"
20500,1,20,3,"При каком случае разрешается обгон впереди движущего транспортного средства, обгоняющего другое транспортное средство?","0","0","ΠΡΟΣΠΕΡΑΣΗ 38"
20501,1,20,3,"В нормальных условиях обгон разрешен только слева. В какой из следующих ситуаций Вы можете выполнить обгон справа?","0","0","ΠΡΟΣΠΕΡΑΣΗ 40"
20502,1,20,3,"Вы намерены обогнать велосипедиста на подъёме. Как Вы должны поступить?","0","0","ΠΡΟΣΠΕΡΑΣΗ 41"
20503,1,20,3,"На что Вы должны обратить внимание при выполнении обгона по отношению к боковому расстоянию?","0","0","ΠΡΟΣΠΕΡΑΣΗ 44"
20504,1,20,3,"Как Вы должны поступить при завершении процедуры обгона?","0","0","ΠΡΟΣΠΕΡΑΣΗ 45"
20505,1,20,3,"За грузовиком образовалась колонна легковых автомобилей. Какой легковой автомобиль должен первым обогнать грузовик?","0","0","ΠΡΟΣΠΕΡΑΣΗ 46"
20506,1,20,3,"При каких обстоятельствах сильный боковой ветер может стать опасным?","0","0","ΠΡΟΣΠΕΡΑΣΗ 49"
20507,1,20,3,"Какая ошибка вождения приводит, при совершении обгона на скоростной трассе, без разделительного островка, к серьезным дорожно-транспортным происшествиям (ДТП):","0","0","ΠΡΟΣΠΕΡΑΣΗ 51"
20508,1,20,3,"Когда разрешается начать обгон?","0","0","ΠΡΟΣΠΕΡΑΣΗ 52"
20509,1,7,3,"Данный знак указывает на участок дороги с опасными поворотами, первый из них налево?","I01","0","ΣΤΡΟΦΕΣ 01"
20510,1,7,3,"Данный дорожный знак подчеркивает наличие очередных поворотов на расстоянии 200 метров:","I02","0","ΣΤΡΟΦΕΣ 02"
20511,1,15,3,"Каковы ваши действия при встрече знаков фотографии и почему?","I03","0","ΣΤΡΟΦΕΣ 03"
20512,1,2,3,"Почему на данном участке дороги вы  должны ехать с особенным вниманием?","I04","0","ΣΤΡΟΦΕΣ 04"
20513,1,2,3,"О чем вас предупреждают эти дорожные знаки?","I05","0","ΣΤΡΟΦΕΣ 05"
20514,1,19,3,"Центробежная сила:","0","0","ΣΤΡΟΦΕΣ 07"
20515,1,19,3,"Что влияет на величину центробежной силы на повороте:","0","0","ΣΤΡΟΦΕΣ 08"
20516,1,19,3,"При движении на повороте транспортное средство должно иметь более низкую скорость:","0","0","ΣΤΡΟΦΕΣ 09"
20517,1,19,3,"На поворотах, если ваш автомобиль перегружен:","0","0","ΣΤΡΟΦΕΣ 10"
20518,1,19,3,"Как должен поступить водитель на крутых поворотах?","0","0","ΣΤΡΟΦΕΣ 11"
20519,1,19,3,"Что может привести к особо опасным ситуациям при движении на повороте?","0","0","ΣΤΡΟΦΕΣ 12"
20520,1,19,3,"На что должен рассчитывать водитель автомобиля, следующий за тяжеловесным грузовым автомобилем, имеющем намерение повернуть вправо?","0","0","ΣΤΡΟΦΕΣ 14"
20521,1,19,3,"Каждый раз когда скорость автомобиля удваивается, центробежная сила умножается:","0","0","ΣΤΡΟΦΕΣ 15"
20522,1,19,3,"Ваш легковой автомобиль двигается со скоростью на повороте. Что должно произойти при резком торможении?","0","0","ΣΤΡΟΦΕΣ 16"
20523,1,19,3,"Вы меняете передачу на повороте:","0","0","ΣΤΡΟΦΕΣ 17"
20524,1,2,3,"Какое транспортное средство должно уступить дорогу пешеходам?","Ia03","0","ΣΥΝΥΠΑΡΞΗ 03"
20525,1,2,3,"Можете ли Вы принять решение обогнать данный грузовик справа?","Ia06","0","ΣΥΝΥΠΑΡΞΗ 06"
20526,1,1,3,"Грузовой автомобиль въезжает в главный поток  движения с полосы разгона. Как должен поступить водитель легкового автомобиля, движущегося на правой полосе, чтобы способствовать безопасности дорожного движения?","Ia07","0","ΣΥΝΥΠΑΡΞΗ 07"
20527,1,15,3,"Разрешается ли Вам выполнить обгон вблизи  пешеходного перехода?","Ia08","0","ΣΥΝΥΠΑΡΞΗ 08"
20528,1,2,3,"Вы остановились по указанию красного света светофора перед пешеходным переходом. На светофоре загорается красный свет для пешеходов. Что Вы должны делать?","Ia11","0","ΣΥΝΥΠΑΡΞΗ 11"
20529,1,16,3,"Вы позволяете пешеходам проходить через дорогу:","Ia12","0","ΣΥΝΥΠΑΡΞΗ 12"
20530,1,2,3,"Как Вы должны поступить в данной ситуации?","Ia14","0","ΣΥΝΥΠΑΡΞΗ 14"
20531,1,2,3,"На светофоре фотографии включены основной зелённый сигнал и желтый мигающий сигнал в виде стрелки. Каким образом вы продолжите движение, если намерены двигаться прямо?","Ia15","0","ΣΥΝΥΠΑΡΞΗ 15"
20532,1,16,3,"На что Вы должны обратить внимание на данном участке дороги?","Ia16","0","ΣΥΝΥΠΑΡΞΗ 16"
20533,1,1,3,"Вы двигаетесь по средней полосе дороги. На что Вы  должны обратить особое внимание и как Вы должны поступить в данном случае?","Ia17","0","ΣΥΝΥΠΑΡΞΗ 17"
20534,1,2,3,"При движении по дороге Вы видите добровольца школьного регулировщика (дружинника), стоящего таким образом. Как Вы поступите?","Ia18","0","ΣΥΝΥΠΑΡΞΗ 18"
20535,1,16,3,"Какие  транспортные средства должны остановиться, чтобы пешеходы безопасно прошли через дорогу?","Ia19","0","ΣΥΝΥΠΑΡΞΗ 19"
20536,1,20,3,"Готовясь к совершению обгона, вы замечаете через боковое зеркало, фару мопеда:","0","0","ΣΥΝΥΠΑΡΞΗ 20"
20537,1,22,3,"Для того, чтобы поменять направление, даже если нет никакого другого вокруг вас участника дорожного движения, вы обязаны включить указателя поворотов:","0","0","ΣΥΝΥΠΑΡΞΗ 21"
20538,1,22,3,"Вы обязаны облегчать движение транспортных средств экстренной помощи:","0","0","ΣΥΝΥΠΑΡΞΗ 23"
20539,1,22,3,"Вы уступаете транспортным средствам экстренной помощи:","0","0","ΣΥΝΥΠΑΡΞΗ 26"
20540,1,22,3,"Вы приближаетесь к школе. Ученики покидают здание школы. На что вы должны обращать внимание:","0","0","ΣΥΝΥΠΑΡΞΗ 27"
20541,1,22,3,"Когда вы двигаетесь по недостаточно освещенной улице за пределами населенного пункта, в каких случаях разрешается включать дальний свет фар транспортного средства?","0","0","ΣΥΝΥΠΑΡΞΗ 29"
20542,1,22,3,"В каких случаях разрешается производить звуковые сигналы в пределах города?","0","0","ΣΥΝΥΠΑΡΞΗ 30"
20543,1,22,3,"Вы едете и видите пешехода, держащего белую палку. Этот человек возможно:","0","0","ΣΥΝΥΠΑΡΞΗ 31"
20544,1,19,3,"На перекрёсте, у светофора Вашего направления зелёный свет, но другое транспортное средство или пешеход ещё двигается по предыдущему сигналу светофора. Что вы должны делать?","0","0","ΣΥΝΥΠΑΡΞΗ 32"
20545,1,22,3,"Если вы заметите, что одно транспортное средство с встречной полосы едет на вас, из-за неисправности или по другой причине, как вы отреагируете?","0","0","ΣΥΝΥΠΑΡΞΗ 33"
20546,1,22,3,"Какие фары вашего транспортного средства должны быть включены в темное время суток в населенных пунктах?","0","0","ΣΥΝΥΠΑΡΞΗ 34"
20547,1,21,3,"В каких из нижеперечисленных случаях можно включать противотуманные фары?","0","0","ΣΥΝΥΠΑΡΞΗ 35"
20548,1,22,3,"Каким образом указывается посадка или высадка школьников из школьного автобуса?","0","0","ΣΥΝΥΠΑΡΞΗ 36"
20549,1,22,3,"Как Вы поступаете, в случае, когда столкновение с дикими животными неизбежно?","0","0","ΣΥΝΥΠΑΡΞΗ 37"
20550,1,19,3,"На перекрёстках с пешеходными переходами и движение не регулируется регулировщиком или светофорами, кто имеет преимущество?","0","0","ΣΥΝΥΠΑΡΞΗ 40"
20551,1,22,3,"В каком случае разрешается прерывать движение, впереди идущих военных колонн или религиозных шествий?","0","0","ΣΥΝΥΠΑΡΞΗ 42"
20552,1,22,3,"Половина проезжей части закрыта из-за строительных работ. Одновременно и с двух противоположных направлений к месту стройки приближаются два транспортных средства. Какое транспортное средство должно подождать?","0","0","ΣΥΝΥΠΑΡΞΗ 45"
20553,1,22,3,"Как должен поступать водитель легкового автомобиля при посадке или высадке детей из автомобиля?","0","0","ΣΥΝΥΠΑΡΞΗ 46"
20554,1,22,3,"Вы видите пешеходов, ждущих у пешеходного перехода, без явного намерения пройти через него. Вы:","0","0","ΣΥΝΥΠΑΡΞΗ 47"
20555,1,22,3,"В каком случае водитель обязан включить огни аварийной остановки (аварийную сигнализацию)?","0","0","ΣΥΝΥΠΑΡΞΗ 48"
20556,1,22,3,"Ваше транспортное средство остановилось, из-за аварии, на дороге местного значения. Что Вы должны делать при буксировке?","0","0","ΣΥΝΥΠΑΡΞΗ 50"
20557,1,22,3,"Перед вашим транспортным средством проходит стадо животных. На что Вы должны рассчитывать?","0","0","ΣΥΝΥΠΑΡΞΗ 53"
20558,1,22,3,"На дороге местного значения, где идёт дождь и темно, со встречного направления приближаются транспортные средства, имеющие включённый ближний свет фар. Вы должны учитывать тот факт, что:","0","0","ΣΥΝΥΠΑΡΞΗ 54"
20559,1,22,3,"Какие обстоятельства могут вызвать опасность дорожному движению?","0","0","ΣΥΝΥΠΑΡΞΗ 55"
20560,1,22,3,"По отношении к какой категории участников дорожной сети должны вы быть особо внимательны?","0","0","ΣΥΝΥΠΑΡΞΗ 56"
20561,1,22,3,"Что понимается под термином «оборонительное вождение»:","0","0","ΣΥΝΥΠΑΡΞΗ 59"
20562,1,22,3,"Почему не разрешается водителям немотивированно ездить очень медленно?","0","0","ΣΥΝΥΠΑΡΞΗ 61"
20563,1,22,3,"Мопед, который двигается с небольшой скоростью, вдруг оказывается перед вами на дороге с плотным потоком движения:","0","0","ΣΥΝΥΠΑΡΞΗ 62"
20564,1,22,3,"Что вы должны иметь в виду, когда вы приближаетесь со своим автомобилем к детям?","0","0","ΣΥΝΥΠΑΡΞΗ 63"
20565,1,22,3,"На каком расстоянии должен быть выставлен знак аварийной остановки, если легковой автомобиль оставлен на скоростной трассе?","0","0","ΣΥΝΥΠΑΡΞΗ 65"
20566,1,11,3,"Можно встретить те же самые таблицы уведомляющие о направлении в картах автодорог?","Ib01","0","ΔΙΑΔΡΟΜΗ 01"
20567,1,16,3,"Правильно ли следить совету делать остановки в пути:","Ib03","0","ΔΙΑΔΡΟΜΗ 03"
20568,1,11,3,"Знак Е-92 на зелёном фоне означает:","Ib04","0","ΔΙΑΔΡΟΜΗ 04"
20569,1,15,3,"Вы намерены двигаться прямо, но белый автомобиль остановлен на плохом месте, в ожидании переезда проезжей части и заблокировал часть вашей полосы. Как Вы поступите?","Ib06","0","ΔΙΑΔΡΟΜΗ 06"
20570,1,1,3,"Водитель красного легкового автомобиля включил левый указатель поворота, потому что намерен перестроиться на левую полосу, по которой впереди двигается другой автомобиль. Каким образом он должен двигаться?","Ib07","0","ΔΙΑΔΡΟΜΗ 07"
20571,1,1,3,"Вы двигаетесь на средней полосе дороги показанной на фотографии и намерены поворачивать налево на следующем перекрёстке. Каковы ваши действия:","Ib08","0","ΔΙΑΔΡΟΜΗ 08"
20572,1,1,3,"Как вы поступите в следующем случае?","Ib09","0","ΔΙΑΔΡΟΜΗ 09"
20573,1,2,3,"Какова цель зеркала, изображенного на фотографии?","Ib12","0","ΔΙΑΔΡΟΜΗ 12"
20574,1,1,3,"Как вы поступите в данном случае?","Ib14","0","ΔΙΑΔΡΟΜΗ 14"
20576,1,23,3,"При совершении дальних поездок, Вы следуете указаниям информационных таблиц направления с цветом фона:","0","0","ΔΙΑΔΡΟΜΗ 17"
20577,1,23,3,"Для осуществления поездки в 500 км, со средней скоростью 100 км/ч, требуется приблизительно:","0","0","ΔΙΑΔΡΟΜΗ 22"
20578,1,23,3,"В каких из следующих случаев Вы обязаны снизить скорость Вашего транспортного средства?","0","0","ΔΙΑΔΡΟΜΗ 23"
20579,1,23,3,"Обязаны ли Вы, при выезде с площади, предупредить транспортные средства, следующие за вами включением указателей поворота?","0","0","ΔΙΑΔΡΟΜΗ 25"
20580,1,26,3,"Во время поездки вы чувствуете, что потеряли контроль над своим автомобилем, из-за того, что по асфальту разлито масло. Какие действия вы предпринимаете?","0","0","ΔΙΑΔΡΟΜΗ 28"
20581,1,28,3,"На сколько разрешается выступать крупногабаритным объектам сзади легкового автомобиля общей длины 4 м?","0","0","ΔΙΑΔΡΟΜΗ 29"
20582,1,23,3,"Для безопасной перевозки детей до 12 лет, они должны сидеть:","0","0","ΔΙΑΔΡΟΜΗ 31"
20583,1,26,3,"По какой причине сильное ускорение при старте весьма опасно?","0","0","ΔΙΑΔΡΟΜΗ 33"
20584,1,23,3,"Каким образом водитель предупреждает других участников движения, когда при движении устанавливает, что у транспортного средства авария и он обязан остановить его?","0","0","ΔΙΑΔΡΟΜΗ 34"
20585,1,23,3,"Каковы последствия от перевозки вещей на верхнем багажнике?","0","0","ΔΙΑΔΡΟΜΗ 35"
20586,1,26,3,"Почему резкое ускорение при начале движения автомобиля с места  опасно?","0","0","ΔΙΑΔΡΟΜΗ 36"
20587,1,18,3,"Когда разрешается дать задний ход вашему автомобилю?","0","0","ΔΙΑΔΡΟΜΗ 37"
20588,1,23,3,"Вы двигаетесь ночью с включённым дальним светом фар. Когда Вы должны переключить дальний свет фар на ближний?","0","0","ΔΙΑΔΡΟΜΗ 38"
20589,1,26,3,"Ваш легковой автомобиль скользит при торможении. Как Вы реагируете?","0","0","ΔΙΑΔΡΟΜΗ 39"
20590,1,26,3,"Влажность может отрицательно повлиять на эффективность тормозов. Как Вы должны поступить в таком случае?","0","0","ΔΙΑΔΡΟΜΗ 40"
20591,1,30,3,"Как Вы должны поступить, когда Вы двигаетесь по дороге местного значения в колонне (очередь) автомобилей?","0","0","ΔΙΑΔΡΟΜΗ 44"
20592,1,23,3,"Вы, особо загрязнили дорожное покрытие вашим автомобилем. Какие меры вы должны принять?","0","0","ΔΙΑΔΡΟΜΗ 45"
22132,3,201,3,"Какова минимальная разрешенная глубина борозд протектора шин грузовых автомобилей с прицепами ?","0","0","ΤΕΧΝΙΚΑ 34"
22133,3,7,3,"Как должен быть остановлен прицеп, когда отцепляется от тягача?","0","0","ΤΕΧΝΙΚΑ 35"
22134,3,7,3,"Сочленённым транспортным средством, является:","0","0","ΤΕΧΝΙΚΑ 36"
22135,3,7,3,"Грузовым транспортным средством, является:","0","0","ΤΕΧΝΙΚΑ 37"
22136,3,7,3,"Буксирующим транспортным средством (трактором или тягачом) является:","0","0","ΤΕΧΝΙΚΑ 39"
22137,3,1,3,"Цифра 30 на данном знаке означает:","F-012","0","ΕΞΟΠΛΙΣΜΟΣ 1"
22138,3,1,3,"Цифра 33 на данном знаке означает:","F-022","0","ΕΞΟΠΛΙΣΜΟΣ 2"
22139,3,8,3,"Пакеты, ящики и бочки, содержащие опасные вещества, должны быть при перевозке маркированы специальной табличкой-этикеткой в форме:","0","0","ΕΞΟΠΛΙΣΜΟΣ 3"
22140,3,8,3,"По боковым сторонам грузовых автомобилей должны быть записаны:","0","0","ΕΞΟΠΛΙΣΜΟΣ 4"
22141,3,8,3,"Сколько треугольных обозначений должен иметь состав транспортных средств (автопоезд или сочлененный) ?","0","0","ΕΞΟΠΛΙΣΜΟΣ 5"
22142,3,8,3,"Грузовики с разрешённой максимальной массой более 3.500 кг, должны:","0","0","ΕΞΟΠΛΙΣΜΟΣ 6"
22143,3,8,3,"Какие грузовые автомобили должны иметь деревянные подставки для предотвращения скатывания?","0","0","ΕΞΟΠΛΙΣΜΟΣ 7"
22144,3,8,3,"Правильный способ расположения груза на грузовом автомобиле – следующий:","0","0","ΕΞΟΠΛΙΣΜΟΣ 8"
22145,3,8,3,"Правильный способ расположения груза на грузовом автомобиле – следующий:","0","0","ΕΞΟΠΛΙΣΜΟΣ 9"
22146,3,8,3,"Перевозимый грузовым автомобилем груз, разрешается чтоб выступал за габариты транспортного средства сзади не более чем на:","0","0","ΕΞΟΠΛΙΣΜΟΣ 12"
22147,3,8,3,"В каком случае груз, перевозимый грузовым автомобилем, должен быть обозначен белой табличкой размером не менее 0,5 х 0,5 м с нанесёнными диагональными красными полосами?","0","0","ΕΞΟΠΛΙΣΜΟΣ 13"
22148,3,200,3,"Каков размер штрафа при превышении максимального разрешенного веса или максимальной разрешенной загрузки на каждую ось до 10%?","0","0","ΕΞΟΠΛΙΣΜΟΣ 14"
22149,3,200,3,"Каков размер штрафа при превышении максимального разрешенного веса или максимальной разрешенной загрузки на каждую ось свыше 10% и до 20%?","0","0","ΕΞΟΠΛΙΣΜΟΣ 15"
22150,3,200,3,"Каков размер штрафа при превышении максимального разрешенного веса или максимальной разрешенной загрузки на каждую ось свыше 20%?","0","0","ΕΞΟΠΛΙΣΜΟΣ 16"
22151,3,8,3,"Когда грузовиком перевозится более одного опасного вещества, они обозначены:","0","0","ΕΞΟΠΛΙΣΜΟΣ 17"
22152,3,8,3,"Какие опознавательные знаки должны иметь в задней стороне грузовые автомобили с максимальной разрешаемой массой свыше 7.500 кг и длиной свыше 13 м?","0","0","ΕΞΟΠΛΙΣΜΟΣ 19"
22153,3,8,3,"В прошлом было зарегистрировано много ДТП, при которых грузовики вклинивались под мостами или происходили несчастные случии из-за ограниченной высоты моста или из-за того, что мост рассчитан на меньший вес. Поэтому необходимо:","0","0","ΕΞΟΠΛΙΣΜΟΣ 20"
22154,3,8,3,"Какую опасность подстерегает груженный грузовой автомобиль, когда проезжает опасный поворот?","0","0","ΕΞΟΠΛΙΣΜΟΣ 21"
22155,3,8,3,"Какой опасности подвергается в основном загруженный грузовой автомобиль, двигающийся по опасно неровной дороге?","0","0","ΕΞΟΠΛΙΣΜΟΣ 22"
22156,3,8,3,"Какой опасности подвергается в основном загруженный грузовой автомобиль, двигающийся по опасному спуску?","0","0","ΕΞΟΠΛΙΣΜΟΣ 23"
22157,3,8,3,"На знаках, предупреждающих об опасностях перевозки опасных веществ, что показывает первая цифра ?","0","0","ΕΞΟΠΛΙΣΜΟΣ 24"
22158,3,9,3,"В каких пределах колеблется минимальное разрешенное давление прессованного воздуха на пневматической тормозной системе ?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 3"
22159,3,9,3,"Какова роль антифриза в тормозной системе с прессованным воздухом?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 5"
22160,3,9,3,"Механический тормоз используется:","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 6"
22161,3,9,3,"Шатун предназначен:","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 7"
22162,3,9,3,"Для чего используется цепь высокого давления в пневматической системе подвески?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 9"
22163,3,9,3,"Для чего служит центральная ось передачи движения, на автомобилях, где двигатель расположен впереди и ведущие колеса сзади?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 10"
22164,3,9,3,"Почему применяется пневматическая тормозная система в грузовых автомобилях?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 15"
22165,3,9,3,"С какой целью применяется гидравлическая система управления на грузовых автомобилях?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 17"
22166,3,9,3,"Если нет одинакового воздействия торможения на все колеса, создаётся в движении транспортного средства опасность:","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 20"
22167,3,9,3,"Компрессор:","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 22"
22168,3,9,3,"Центробежный насос воды системы охлаждения двигателя:","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 24"
22169,3,9,3,"Автоматический регулятор давления – это механизм рабочей тормозной системы, который:","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 25"
22170,3,9,3,"Коленчатый вал предназначен:","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 27"
22171,3,9,3,"Сервотормоз сжатого воздуха применим:","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 29"
22172,3,9,3,"С какой целью применяется пневматическая тормозная система?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 34"
22173,3,9,3,"Каково нормальное движение воды в системе охлаждения ?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 35"
22174,3,9,3,"Какова функция коробки переключения передач в системе передачи движения?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 49"
22175,3,9,3,"Какова функция первичного вала в КПП?","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 51"
22176,3,9,3,"На указателе оборотов грузового автомобиля имеются цветные отметки, желтого, зеленого, красного цвета. На какой ступени должен быть указатель, чтобы двигатель хорошо функционировал без излишнего расходования топлива.","0","0","ΜΗΧΑΝΟΛΟΓΙΑ 54"
22177,3,10,3,"Установлено, что при работе двигателя - низкая температура. Какова возможная причина?","0","0","ΣΥΝΤΗΡΗΣΗ 1"
22178,3,10,3,"Когда выхлопные газы дизельного двигателя черного цвета, какова возможная причина ?","0","0","ΣΥΝΤΗΡΗΣΗ 2"
22179,3,10,3,"Вы обнаружили, что при работе дизельного двигателя автомобиля возникают перебои. Какова причина этих перебоев?","0","0","ΣΥΝΤΗΡΗΣΗ 3"
22180,3,10,3,"С какой целью нужно часто проверять нормальное давление шин грузового автомобиля?","0","0","ΣΥΝΤΗΡΗΣΗ 4"
22181,3,10,3,"Какова возможная причина не зажигания стартера?","0","0","ΣΥΝΤΗΡΗΣΗ 9"
22182,3,10,3,"Для чего необходима чистка воздушного фильтра двигателя ?","0","0","ΣΥΝΤΗΡΗΣΗ 10"
