AQCod,AAA,ALect,ACorr,ASound
12173,1,"Radiator - water jackets - water pump - thermostat -radiator.",0,"0"
12173,2,"Radiator - thermostat - water jackets - water pump -radiator.",0,"0"
12173,3,"Radiator - water pump - water jackets - thermostat -radiator.",1,"0"
12174,1,"Allows the progressive engagement with, and disengagement of the engine from the other parts of the system.",0,"0"
12174,2,"Alters the ratio between engine revolutions and driving shaft revolutions and consequently of the wheels.",1,"0"
12174,3,"It transfers the power of the pair mitre-wheel-crown wheel to the wheels allowing them to have different rotanion speeds.",0,"0"
12175,2,"Through the central shaft and the joints, it drives the driving wheels.",0,"0"
12175,1,"Through the clutch it is driven by the engine.",1,"0"
12175,3,"It is driven by the central shaft and drives the secondary shaft.",0,"0"
12176,2,"Green scale.",1,"0"
12176,3,"Red scale.",0,"0"
12176,1,"Yellow scale.",0,"0"
12177,3,"Small capacity of the radiator.",0,"0"
12177,2,"A power-cut of the fan.",0,"0"
12177,1,"A failure of the thermostat.",1,"0"
12178,1,"Low temperature of the engine.",0,"0"
12178,2,"Low pressure of the cylinder.",0,"0"
12178,3,"Defective supply of the injection pump.",1,"0"
12179,3,"Malfunction of the fuel injector.",1,"0"
12179,2,"Low temperature of the engine.",0,"0"
12179,1,"High temperature of the engine.",0,"0"
12180,3,"So as to prevent the wear of the car in general.",0,"0"
12180,2,"So as to prevent a premature wear of the tyres.",1,"0"
12180,1,"So as to have a comfortable driving.",0,"0"
12181,1,"The multiplier does not work properly.",0,"0"
12181,2,"The clearance of the electrical distributor contacts has not been adjusted properly.",0,"0"
12181,3,"The battery does not have the required voltage.",1,"0"
12182,1,"For the reduction of oil consumption.",0,"0"
12182,2,"For the better cleaning of the air.",0,"0"
12182,3,"For facilitating the suction of the normal air quantity without any obstacles.",1,"0"
12183,3,"Check and regulate the pump and fuel injectors and clean the air filter.",1,"0"
12183,1,"Change the lubrication oil.",0,"0"
12183,2,"Immediately repair the engine.",0,"0"
12184,1,"The disc is fixed on the flywheel.",1,"0"
12184,2,"The friction materials may have been overheated.",0,"0"
12184,3,"Oil or grease may exist in the friction materials.",0,"0"
12185,3,"Excessive fuel consumption.",0,"0"
12185,2,"Increase of the external temperature.",0,"0"
12185,1,"Malfunction of the thermostat.",1,"0"
12186,2,"Obstruction of the feeding system.",1,"0"
12186,1,"Low compression of the cylinders.",0,"0"
12186,3,"Improper internal timing of the injection pump.",0,"0"
12187,2,"On the middle (centre) of the tread.",1,"0"
12187,3,"Only on the internal side of the tread.",0,"0"
12187,1,"On the sides of the tread.",0,"0"
12188,2,"To the indications of the manometers on the dashboard.",1,"0"
12188,3,"The way the footbrake pedal goes down, when pressed.",0,"0"
12188,1,"To the way the brakes act.",0,"0"
12189,3,"Ensure its immediate replacement.",1,"0"
12189,2,"Isolate it from the rest of the circuit.",0,"0"
12189,1,"Ensure its repair through welding.",0,"0"
12190,3,"Great oil consumption.",0,"0"
12190,2,"The diesel engine has been overheated.",0,"0"
12190,1,"Water has entered the cylinders.",1,"0"
12191,2,"That lubrication is normal.",0,"0"
12191,1,"That the generator (dynamo) does not charge the battery.",0,"0"
12191,3,"That oil pressure is insufficient.",1,"0"
12192,3,"Tyre pressure.",1,"0"
12192,2,"Tyre tread depth.",0,"0"
12192,1,"The level of engine cooling fluid.",0,"0"
12193,2,"Engine oil pressure.",1,"0"
12193,1,"Hydraulic brakes oil pressure.",0,"0"
12193,3,"Sump oil quantity.",0,"0"
12194,1,"Wheel skidding during braking.",1,"0"
12194,2,"Excessive fuel consumption.",0,"0"
12194,3,"Not uniform wear of the differential gears.",0,"0"
12195,2,"The first control, before their classification and thereafter periodically every year.",1,"0"
12195,1,"The first control, two years after their classification and thereafter periodically every two (2) years.",0,"0"
12195,3,"The first control, before their classification and thereafter periodically every two (2) years.",0,"0"
12196,1,"80 km/h",1,"0"
12196,3,"90 km/h",0,"0"
12196,2,"70 km/h",0,"0"
12197,3,"To lubricate the piston-cylinder surfaces.",0,"0"
12197,2,"Not to allow the lubrication oil to reach the combustion chamber.",0,"0"
12197,1,"Not to allow the combustion gases to escape to the crankcase.",1,"0"
13001,1,"Route for buses and trolley-buses only.",0,"0"
13001,3,"Buses and trolley-buses are not allowed to pass.",0,"0"
13001,2,"End of route for buses or trolley-buses only.",1,"0"
13002,3,"No entry to motor vehicles except for two-wheeled motorcycles.",1,"0"
13002,1,"No entry to passenger vehicles.",0,"0"
13002,2,"No entry to all vehicles except for passenger vehicles.",0,"0"
13003,1,"Priority over the oncoming direction.",0,"0"
13003,2,"Priority of the opposite traffic due to road narrowness.",1,"0"
13003,3,"Forewarning of a two-way street.",0,"0"
13004,3,"Forewarning of a two-way street.",0,"0"
13004,2,"Priority of the opposite traffic.",0,"0"
13004,1,"Priority over the oncoming traffic.",1,"0"
13005,2,"Priority of the oncoming traffic.",0,"0"
13005,1,"Priority over the oncoming traffic.",0,"0"
13005,3,"Forewarning of a two-way street.",1,"0"
13006,1,"Expressway.",1,"0"
13006,3,"Entry to passenger cars only.",0,"0"
13006,2,"Motorway.",0,"0"
13007,3,"End of expressway.",1,"0"
13007,1,"No entry to passenger cars.",0,"0"
13007,2,"End of motorway.",0,"0"
13008,2,"Motorway.",1,"0"
13008,3,"No through road.",0,"0"
13008,1,"Expressway.",0,"0"
13009,1,"End of expressway.",0,"0"
13009,2,"End of no through road.",0,"0"
13009,3,"End of motorway.",1,"0"
13010,2,"Pedestrian crossing.",1,"0"
13010,1,"Pedestrians are forbidden.",0,"0"
13010,3,"Underground pedestrian crossing.",0,"0"
13011,1,"Numbering of highways.",1,"0"
13011,3,"Distance in kilometres.",0,"0"
13011,2,"Numbering of international arteries.",0,"0"
13012,1,"Numbering of highways.",0,"0"
13012,3,"Distance in kilometres.",0,"0"
13012,2,"Numbering of international arteries.",1,"0"
13013,1,"Numbering of highways.",0,"0"
13013,2,"Numbering of international arteries.",0,"0"
13013,3,"Distance in kilometres.",1,"0"
13014,1,"Direction towards a place in the form of an arrow.",1,"0"
13014,2,"Warning of compulsory course.",0,"0"
13014,3,"Direction towards a place of great touristic or archaeological interest in the form of an arrow.",0,"0"
13015,1,"Direction towards more than one place in the form of an arrow.",1,"0"
13015,3,"Direction towards a place of great touristic or archaeological interest in the form of an arrow.",0,"0"
13015,2,"Warning of compulsory course.",0,"0"
13016,1,"Minimum speed limit per lane.",0,"0"
13016,3,"Generally, speed limits.",0,"0"
13016,2,"Maximum speed limit per lane.",1,"0"
13017,2,"Maximum speed limit per lane.",0,"0"
13017,1,"Minimum speed limit per lane.",1,"0"
13017,3,"Generally, speed limits.",0,"0"
13018,3,"Generally, speed limits.",1,"0"
13018,2,"Maximum speed limit per lane.",0,"0"
13018,1,"Minimum speed limit per lane.",0,"0"
13019,3,"Notice of approaching a two-level motorway interchange.",0,"0"
13019,2,"Direction of entry to a motorway.",1,"0"
13019,1,"Direction of exit from a motorway.",0,"0"
13020,2,"Direction of entry to a motorway.",0,"0"
13020,3,"Notice of approaching a two-level motorway interchange.",1,"0"
13020,1,"Direction of exit from a motorway.",0,"0"
13021,3,"Notice of approaching a two-level motorway interchange.",0,"0"
13021,1,"Direction of exit from a motorway.",1,"0"
13021,2,"Direction of entry to a motorway.",0,"0"
13022,1,"Crossroads where priority from the right applies.",1,"0"
13022,3,"Crossroads with a priority road.",0,"0"
13022,2,"Branch with a vertical road on the right, on which those moving should give priority.",0,"0"
13023,1,"Crossroads where priority from the right applies.",0,"0"
13023,3,"Crossroads with a priority road.",0,"0"
13023,2,"Branch with a vertical road on the right, on which those moving should give priority.",1,"0"
13024,1,"Give priority.",1,"0"
13024,2,"Priority road.",0,"0"
13024,3,"End of priority road.",0,"0"
13025,1,"Give priority.",0,"0"
13025,2,"Priority road.",1,"0"
13025,3,"End of priority road.",0,"0"
13026,2,"Priority road.",0,"0"
13026,3,"End of priority road.",1,"0"
13026,1,"Give priority.",0,"0"
13027,1,"Dangerous right bend ahead.",1,"0"
13027,3,"Compulsory passage only from the right side of the traffic island or obstacle.",0,"0"
13027,2,"Turn right ahead.",0,"0"
13028,1,"Dangerous right bend ahead.",0,"0"
13028,2,"Turn right ahead.",1,"0"
13028,3,"Compulsory passage only from the right side of the traffic island or obstacle.",0,"0"
13029,1,"Dangerous right bend ahead.",0,"0"
13029,3,"Compulsory passage only from the right side of the traffic island or obstacle.",1,"0"
13029,2,"Turn right ahead.",0,"0"
13030,2,"Two dangerous converse or successive (continuous) bends, the first of which is left.",1,"0"
13030,1,"Slippery road.",0,"0"
13030,3,"Two dangerous converse or successive (continuous) bends, the first of which is right.",0,"0"
13031,1,"Slippery road.",0,"0"
13031,3,"Two dangerous converse or successive (continuous) bends, the first of which is right.",1,"0"
13031,2,"Two dangerous converse or successive (continuous) bends, the first of which is left.",0,"0"
13032,3,"Two dangerous converse or successive (continuous) bends, the first of which is right.",0,"0"
13032,1,"Slippery road.",1,"0"
13032,2,"Two dangerous converse or successive (continuous) bends, the first of which is left.",0,"0"
13033,2,"Approaching a bus or trolley-bus stop.",0,"0"
13033,3,"Road for all vehicles except for buses and trolley-buses.",0,"0"
13033,1,"Route for buses and trolley-buses only.",1,"0"
13034,3,"The maximum load weight that is permitted to be loaded on the vehicle.",0,"0"
13034,2,"The maximum weight of a loaded vehicle, which is stated as gross weight in its registration licence.",1,"0"
13034,1,"The maximum weight that the vehicle can bear.",0,"0"
13035,3,"The actual weight of the vehicle along with the load, crew and passengers from time to time. ",1,"0"
13035,2,"The maximum weight of the vehicle without the transported load.",0,"0"
13035,1,"The maximum weight that has been loaded on the vehicle.",0,"0"
13036,2,"The sum of the tare weight and load.",0,"0"
13036,1,"The maximum permissible weight less the tare weight.",1,"0"
13036,3,"The gross weight less the load.",0,"0"
13037,1,"7.500 kg.",0,"0"
13037,3,"7.000 kg.",1,"0"
13037,2,"8.000 kg.",0,"0"
13038,1,"16.000 kg.",0,"0"
13038,2,"19.000 kg.",1,"0"
13038,3,"20.000 kg.",0,"0"
13039,3,"28.000 kg.",0,"0"
13039,1,"24.000 kg.",0,"0"
13039,2,"26.000 kg.",1,"0"
13040,2,"16,00 m.",0,"0"
13040,3,"18,00 m.",1,"0"
13040,1,"15,00 m.",0,"0"
13041,2,"2,55 m.",1,"0"
13041,1,"2,50 m.",0,"0"
13041,3,"2,60 m.",0,"0"
13042,3,"12,5 m.",0,"0"
13042,2,"12 m.",1,"0"
13042,1,"11,5 m.",0,"0"
13043,1,"3,80 m.",0,"0"
13043,2,"4,00 m.",1,"0"
13043,3,"4,20 m.",0,"0"
13044,1,"3 m.",0,"0"
13044,3,"3,50 m.",0,"0"
13044,2,"3,20 m.",1,"0"
13045,3,"19.000 kg.",0,"0"
13045,2,"18.000 kg.",1,"0"
13045,1,"16.000 kg.",0,"0"
13046,1,"25.000 kg.",1,"0"
13046,3,"28.000 kg.",0,"0"
13046,2,"26.000 kg.",0,"0"
13047,2,"29.000 kg.",1,"0"
13047,1,"28.000 kg.",0,"0"
13047,3,"32.000 kg.",0,"0"
13048,3,"32.000 kg.",0,"0"
13048,2,"29.000 kg.",0,"0"
13048,1,"28.000 kg.",1,"0"
13049,3,"13.000 kg.",0,"0"
13049,2,"11.500 kg.",0,"0"
13049,1,"10.000 kg.",1,"0"
13050,3,"28.000 kg.",0,"0"
13050,2,"26.000 kg.",1,"0"
13050,1,"25.000 kg.",0,"0"
13051,2,"20.000 kg.",1,"0"
13051,1,"17.000 kg.",0,"0"
13051,3,"22.000 kg.",0,"0"
13052,1,"11.500 kg.",0,"0"
13052,3,"13.000 kg.",1,"0"
13052,2,"12.000 kg.",0,"0"
13053,1,"12.000 kg.",0,"0"
13053,3,"13.000 kg.",0,"0"
13053,2,"11.500 kg.",1,"0"
13054,1,"The right indicator is flashing.",0,"0"
13054,2,"The hazard warning lights are on.",1,"0"
13055,3,"Stop and wait until all students have got on or off, and after the bus has moved off, continue their course.",1,"0"
13055,2,"Move at a speed of up to the maximum limit (50 km/h) and carefully overtake the school bus.",0,"0"
13055,1,"Reduce speed and carefully overtake the school bus.",0,"0"
13056,1,"Avoid harsh braking, unless it is absolutely necessary.",1,"0"
13056,2,"Use the horn as a warning only in case of long waiting.",0,"0"
13056,3,"Use the horn so as to give a signal to another driver, only if they made a mistake against you.",0,"0"
13057,3,"The frequent use of brakes.",0,"0"
13057,2,"The engagement of a small gear.",0,"0"
13057,1,"The existence of oil or water on the road surface.",1,"0"
13058,3,"The low speed of the vehicle.",0,"0"
13058,2,"The increased number of engine revolutions.",0,"0"
13058,1,"The existence of leaves on the road.",1,"0"
13059,3,"Decrease of engine’s horsepower.",0,"0"
13059,2,"Loss of control of the steering system.",1,"0"
13059,1,"Tyre wear.",0,"0"
13060,2,"Half an hour before sunrise.",0,"0"
13060,1,"If there is a risk of dazzling other vehicle drivers coming from the opposite direction.",1,"0"
13060,3,"When during driving they do not keep a safety distance.",0,"0"
13061,2,"Is reduced, if tyre tread is worn.",0,"0"
13061,3,"Is reduced, if driver’s readiness is increased.",1,"0"
13061,1,"Does not depend on tyre condition.",0,"0"
13062,1,"The kind and condition of the road surface.",1,"0"
13062,2,"The external temperature.",0,"0"
13062,3,"The atmospheric pressure.",0,"0"
13063,1,"The speed of the vehicle.",1,"0"
13063,2,"The kind of the braking system.",0,"0"
13063,3,"The pressure you exert on the footbrake pedal.",0,"0"
13064,2,"The right one.",1,"0"
13064,1,"The left one.",0,"0"
13064,3,"Both the same.",0,"0"
13065,3,"Rear wheels.",0,"0"
13065,2,"Internal wheels.",0,"0"
13065,1,"External wheels.",1,"0"
13066,3,"The wheels of the driving shaft.",1,"0"
13066,2,"One wheel of the steering shaft and the wheel of the driving shaft diametrically opposite to that.",0,"0"
13066,1,"The wheels of the steering shaft.",0,"0"
13067,3,"Always, because in case of braking the vehicle will deviate from the road.",1,"0"
13067,2,"Only when the road is slippery.",0,"0"
13067,1,"Only when the road has curves.",0,"0"
13068,2,"Because from the continuous use of the braking system, you may cause an early wear of the clutch.",0,"0"
13068,1,"Because the vehicle will be ungoverned.",0,"0"
13068,3,"Because from the continuous use of the braking system, you run the risk of being left without brakes.",1,"0"
13069,1,"By accelerating.",0,"0"
13069,3,"By braking continuously.",0,"0"
13069,2,"By moving at a low speed and avoiding braking.",1,"0"
13070,1,"Drive the car immediately to a special repair workshop.",0,"0"
13070,2,"Press the footbrake pedal repeatedly and successively driving at a low speed.",1,"0"
13070,3,"Apply the handbrake instead of the footbrake.",0,"0"
13071,2,"When you press the brake pedal with such strength that depending on the road condition the wheels are not immobilised (do not lock).",1,"0"
13071,3,"When you press hard and release successively the brake pedal.",0,"0"
13071,1,"When you press very hard the brake pedal.",0,"0"
13072,1,"The rightmost lane.",0,"0"
13072,2,"The two rightmost lanes.",1,"0"
13072,3,"All, depending on traffic conditions.",0,"0"
13073,2,"Both lanes.",0,"0"
13073,1,"The rightmost lane",0,"0"
13073,3,"The right lane and for a short time in special cases (overtaking, etc.) in the left one.",1,"0"
13074,2,"90 km/h.",1,"0"
13074,3,"100 km/h.",0,"0"
13074,1,"80 km/h.",0,"0"
13075,3,"70 km/h.",0,"0"
13075,2,"60 km/h.",1,"0"
13075,1,"50 km/h.",0,"0"
13076,3,"90 km/h.",0,"0"
13076,2,"80 km/h.",1,"0"
13076,1,"70 km/h.",0,"0"
13077,3,"90 km/h.",0,"0"
13077,2,"80 km/h.",1,"0"
13077,1,"70 km/h.",0,"0"
13078,1,"50 km/h.",1,"0"
13078,3,"70 km/h.",0,"0"
13078,2,"60 km/h.",0,"0"
13079,1,"80 km/h.",1,"0"
13079,3,"100 km/h.",0,"0"
13079,2,"90 km/h.",0,"0"
13080,3,"100 km/h.",0,"0"
13080,1,"80 km/h.",0,"0"
13080,2,"90 km/h.",1,"0"
13081,3,"70 km/h.",0,"0"
13081,2,"60 km/h.",1,"0"
13081,1,"50 km/h.",0,"0"
13082,1,"70 km/h.",1,"0"
13082,2,"80 km/h.",0,"0"
13082,3,"90 km/h.",0,"0"
13083,2,"Yes, it will pay compensation and there will be no consequence for the driver.",0,"0"
13083,1,"No, it will pay compensation to third parties, but then it will turn against the driver.",1,"0"
13084,3,"Deprivation of the right of driving licence acquisition for at least twenty (20) years.",0,"0"
13084,2,"Deprivation of the right of driving licence acquisition for at least fifteen (15) years.",0,"0"
13084,1,"Deprivation of the right of driving licence acquisition for at least ten (10) years.",1,"0"
13085,3,"Deprivation of the right of driving licence acquisition for at least ten (10) years.",0,"0"
13085,2,"Deprivation of the right of driving licence acquisition for at least five (5) years.",0,"0"
13085,1,"Deprivation of the right of driving licence acquisition for at least three (3) years.",1,"0"
13086,2,"Fine of 200,000 drachmas and disqualification for 3 months.",0,"0"
13086,1,"Fine of 200,000 drachmas, imprisonment for at least 2 months, disqualification for 6 months, taking away of the number plates and vehicle registration licence for 10 days to 6 months.",1,"0"
13086,3,"Disqualification for 5 years.",0,"0"
13087,3,"Fine of 50,000 drachmas and disqualification for 1 month.",0,"0"
13087,1,"Fine of 100,000 drachmas.",0,"0"
13087,2,"Fine of 50,000 drachmas.",1,"0"
13088,3,"Fine of 200,000 drachmas and disqualification for 1 month.",0,"0"
13088,2,"Fine of 100,000 drachmas and disqualification for 3 months.",1,"0"
13088,1,"Fine of 100,000 drachmas.",0,"0"
13089,2,"Deprivation of the right of licence reissue for at least five (5) years.",0,"0"
13089,1,"Deprivation of the right of licence reissue for at least three (3) years.",1,"0"
13089,3,"Deprivation of the right of licence reissue for at least ten (10) years.",0,"0"
13090,3,"Disqualification for 3 months to 2 years.",1,"0"
13090,2,"Disqualification for 2 months to 3 years.",0,"0"
13090,1,"Disqualification for 1 month to 1 year.",0,"0"
13091,3,"Disqualification for 2 to 5 years.",1,"0"
13091,1,"Disqualification for 2 to 3 years.",0,"0"
13091,2,"Disqualification for 2 to 4 years.",0,"0"
13092,1,"Disqualification for five (5) years.",1,"0"
13092,2,"Disqualification for three (3) years.",0,"0"
13092,3,"Disqualification for two (2) years.",0,"0"
13093,1,"Deprivation of the right of licence reissue for ten (10) years.",0,"0"
13093,3,"Up to definite deprivation of the right of driving licence reacquisition.",1,"0"
13093,2,"Deprivation of the right of licence reissue for twenty (20) years.",0,"0"
13094,2,"There is no limit, provided that the air containers be filled.",0,"0"
13094,1,"Three (3) minutes for pressure increase from 0% to 65% of the maximum pressure.",1,"0"
13094,3,"Ten (10) minutes for pressure increase from 0% to 65% of the maximum pressure.",0,"0"
13095,3,"It is driven by the central shaft and drives the secondary shaft.",0,"0"
13095,2,"Through the central shaft and the joints it drives the driving wheels.",0,"0"
13095,1,"Through the clutch it is driven by the engine.",1,"0"
13096,2,"Green scale.",1,"0"
13096,3,"Red scale.",0,"0"
13096,1,"Yellow scale.",0,"0"
13097,2,"Green scale.",0,"0"
13097,3,"Red scale.",1,"0"
13097,1,"Yellow scale.",0,"0"
13098,3,"It is driven by the primary shaft and drives the secondary shaft.",1,"0"
13098,1,"It is driven by the engine through the clutch.",0,"0"
13098,2,"It drives the driving wheels through the central shaft and joints.",0,"0"
13099,3,"Prevents wheel locking when braking (on a wet road).",1,"0"
13099,2,"Prevents wheel sliding during acceleration.",0,"0"
13099,1,"Prevents differential locking on bends.",0,"0"
13100,1,"About 5-6 bar.",1,"0"
13100,2,"About 9-10 bar.",0,"0"
13100,3,"About 14-15 bar.",0,"0"
13101,3,"It supplies air to the servo-mechanisms of the vehicle.",0,"0"
13101,2,"It maintains the pressure in the air springs steady.",0,"0"
13101,1,"It supplies additional air to, and increases the pressure in the air springs, when the car is being loaded, so as to maintain it steady.",1,"0"
13102,3,"Electric-engined car.",0,"0"
13102,2,"Petrol-engined car.",1,"0"
13102,1,"Diesel-engined car.",0,"0"
13103,3,"All gears change in a synchronized way, except for the reverse.",1,"0"
13103,2,"All gears change in a synchronized way, except for the first gear.",0,"0"
13103,1,"All gears change in a synchronized way.",0,"0"
13104,3,"With the help of the connecting rod.",1,"0"
13104,2,"Through the valve tappers.",0,"0"
13104,1,"Through the camshaft.",0,"0"
13105,1,"To transfer the kinetic energy of the piston to the crankshaft.",1,"0"
13105,3,"To open and close the inlet and exhaust valve.",0,"0"
13105,2,"To connect the piston with the camshaft.",0,"0"
13106,1,"The external diameter of the tyre in inches.",0,"0"
13106,3,"The height of the tyre tread in inches.",0,"0"
13106,2,"The diameter of the wheel-rim in inches.",1,"0"
13107,2,"Diesel-engined car.",1,"0"
13107,3,"Gas-driven car.",0,"0"
13107,1,"Petrol-engined car.",0,"0"
13108,1,"A mixture of diesel oil and air.",0,"0"
13108,2,"Only diesel oil.",0,"0"
13108,3,"Only air.",1,"0"
13109,3,"To transfer the torque from the gear-box to the driving wheels.",1,"0"
13109,1,"To drive the front wheels.",0,"0"
13109,2,"To transfer the motion from the differential to the gear-box.",0,"0"
13110,3,"Increases engine horsepower.",0,"0"
13110,2,"Reduces pollution emitted by the exhaust pipe.",1,"0"
13110,1,"Facilitates the exhaust gases outlet.",0,"0"
13111,2,"Not to allow the lubrication oil to reach the combustion chamber.",0,"0"
13111,1,"Not to allow combustion gases to escape to the crankcase.",1,"0"
13111,3,"To lubricate the piston-cylinder surfaces.",0,"0"
13112,3,"The external wear of the piping and the other mechanisms of the air brakes is rare.",0,"0"
13112,2,"The hydraulic braking system does not suffice for slowing down the vehicle.",1,"0"
13112,1,"Vehicle driving is more comfortable.",0,"0"
13113,3,"Four revolutions.",0,"0"
13113,2,"Two revolutions.",0,"0"
13113,1,"One revolution.",1,"0"
13114,3,"The camshaft through a belt.",0,"0"
13114,1,"The crankshaft through a belt.",1,"0"
13114,2,"The camshaft with special gears.",0,"0"
13115,2,"By compulsory oil circulation.",1,"0"
13115,3,"By a mixed system.",0,"0"
13115,1,"By oil injection.",0,"0"
13116,1,"Reduce the effect of driver’s muscular effort at turning.",0,"0"
13116,2,"Increase the effect of driver’s muscular effort at turning.",1,"0"
13116,3,"Increase tyre grip on the road.",0,"0"
13117,1,"Sucks the air, compresses and introduces it into the air containers.",1,"0"
13117,2,"Sucks the air and sends it to the suspension system.",0,"0"
13117,3,"Sucks the air and sends it to the cooling system.",0,"0"
13118,2,"A hydro-pneumatic braking system.",1,"0"
13118,3,"An electrical braking system.",0,"0"
13118,1,"A mechanical braking system.",0,"0"
13119,1,"To lubricate the distributor.",0,"0"
13119,2,"Not to allow the lubrication oil to reach the combustion chamber.",1,"0"
13119,3,"Not to allow the combustion gases to escape to the crankcase.",0,"0"
13120,3,"Connect car frame with the tyres.",0,"0"
13120,1,"Make car’s driving stable.",0,"0"
13120,2,"Control and absorb fast the springs’ oscillations when the wheels meet a roughness on the road.",1,"0"
13121,2,"Produces the required compressed air.",0,"0"
13121,3,"Distributes the air to more than one circuit.",0,"0"
13121,1,"Regulates automatically the pressure in the brake cylinders according to vehicle’s loading.",1,"0"
13122,1,"Sucks the cooling fluid from the radiator’s upper water space and sends it with natural flow to engine’s cylinder casings.",0,"0"
13122,3,"With the help of the thermostat it sucks the cooling fluid and sends it to cylinder casings.",0,"0"
13122,2,"Sucks the cooling fluid from the radiator’s lower water space and sends it with pressure to engine’s cylinder casings.",1,"0"
13123,2,"Reduction of the use of footbrake during vehicle movement on a downhill.",1,"0"
13123,1,"Thrift in fuel consumption.",0,"0"
13123,3,"Engine relief.",0,"0"
13124,1,"To the way the brakes act.",0,"0"
13124,3,"The way the footbrake pedal goes down when pressed.",0,"0"
13124,2,"To the indications of the manometers on the dashboard.",1,"0"
13125,3,"The inlet and exhaust valve.",1,"0"
13125,1,"The crankshaft.",0,"0"
13125,2,"The fan.",0,"0"
13126,1,"Radiator - water jackets - water pump - thermostat -radiator.",0,"0"
13126,2,"Radiator - thermostat - water jackets - water pump -radiator.",0,"0"
13126,3,"Radiator - water pump - water jackets - thermostat -radiator.",1,"0"
13127,3,"Three (3).",0,"0"
13127,2,"Two (2).",1,"0"
13127,1,"One (1).",0,"0"
13128,2,"Engine oil pressure.",1,"0"
13128,1,"Hydraulic brakes oil pressure.",0,"0"
13128,3,"Sump oil quantity.",0,"0"
13129,1,"Two (2).",1,"0"
13129,3,"Four (4).",0,"0"
13129,2,"Three (3).",0,"0"
13130,3,"To change driving direction by 40 degrees.",0,"0"
13130,1,"To differentiate the revolutions of one driving wheel from the other.",1,"0"
13130,2,"To increase the number of revolutions of the driving wheels in relation to those of the central driving shaft.",0,"0"
13131,2,"The circuit of internal danger lighting.",0,"0"
13131,3,"The circuit of central electrical door locking.",0,"0"
13131,1,"Fuel supply.",1,"0"
13132,1,"Because the inlet valve opens more.",0,"0"
13132,2,"Because more diesel goes to the fuel injectors.",1,"0"
13132,3,"Because current of greater intensity goes to the sparkling plug.",0,"0"
13133,2,"To decrease the speed of exhaust gases outlet so as to reduce fuel consumption.",0,"0"
13133,1,"To decrease the speed of exhaust gases outlet so as to reduce noise.",1,"0"
13133,3,"To decrease the speed of exhaust gases outlet so as to warm up the interior of the vehicle.",0,"0"
13134,1,"Damage of the thermostat.",1,"0"
13134,3,"Small capacity of the radiator.",0,"0"
13134,2,"Power-cut of the fan.",0,"0"
13135,3,"Check periodically the efficiency and functionality of the reserve lamps.",0,"0"
13135,1,"Replace the light bulb with others of better performance so as to secure their longest life.",0,"0"
13135,2,"Clean often the illuminating surfaces of the lights.",1,"0"
13136,3,"Check periodically the indicators’ function.",1,"0"
13136,2,"Leave the lamp glass dusty so as to prevent their fading.",0,"0"
13136,1,"Replace the bulbs with others of higher wattage so as to improve lamps’ efficiency.",0,"0"
13137,2,"1,5 mm.",0,"0"
13137,1,"1 mm.",1,"0"
13137,3,"2 mm.",0,"0"
13138,2,"That lubrication is normal.",0,"0"
13138,3,"That oil pressure is insufficient.",1,"0"
13138,1,"That the generator (dynamo) does not charge the battery.",0,"0"
13139,3,"Tyre pressure.",1,"0"
13139,2,"Tyre tread depth.",0,"0"
13139,1,"The level of engine cooling fluid.",0,"0"
13140,3,"Malfunction of the shoe return springs.",1,"0"
13140,1,"Malfunction of the differential.",0,"0"
13140,2,"Irregular tyre pressure.",0,"0"
13141,1,"Before setting out on a long journey.",0,"0"
13141,2,"Daily.",1,"0"
13141,3,"When the lamp of oil pressure is on.",0,"0"
13142,2,"There is a power cut between battery and starter motor.",1,"0"
13142,3,"The multiplier does not work properly.",0,"0"
13142,1,"The belt is broken.",0,"0"
13143,2,"Immediately repair the engine.",0,"0"
13143,1,"Change the lubrication oil.",0,"0"
13143,3,"Check and regulate the pump and fuel injectors and clean the air filter.",1,"0"
13144,2,"Obstruction of the feeding system.",1,"0"
13144,3,"Improper internal timing of the injection pump.",0,"0"
13144,1,"Low compression of the cylinders.",0,"0"
13145,3,"The engine consumes a lot of oil.",1,"0"
13145,2,"The engine does not have a normal ignition advance.",0,"0"
13145,1,"The driver drives at a high speed.",0,"0"
13146,2,"On the middle (centre) of the tread.",1,"0"
13146,3,"Only on the internal side of the tread.",0,"0"
13146,1,"On the sides of the tread.",0,"0"
13147,3,"Ensure its immediate replacement.",1,"0"
13147,2,"Isolate it from the rest of the circuit.",0,"0"
13147,1,"Ensure its repair through welding.",0,"0"
13148,3,"Great oil consumption.",0,"0"
13148,2,"The diesel engine has been overheated.",0,"0"
13148,1,"Water has entered the cylinders.",1,"0"
13149,3,"Irregular function of the engine.",0,"0"
13149,2,"Abnormal behaviour of the vehicle, especially on bends.",1,"0"
13149,1,"Smaller lateral tilt of the vehicle on bends.",0,"0"
13150,1,"Maintain system’s pressure steady.",0,"0"
13150,2,"Feed the system with compressed air, so that rates of higher and lower function pressure are maintained steady in the air containers.",0,"0"
13150,3,"Inject the compressed air with anti-freeze fluid, so that the various components do not freeze at very low temperatures",1,"0"
13151,1,"Pump up the tyres at a pressure lower than that recommended by the manufacturer.",0,"0"
13151,2,"Check tyre pressure before the journey.",1,"0"
13151,3,"Drive using the dipped headlights.",0,"0"
